employees,estatutarios,comissionados,indireta_existe,plano_diretor,tx_limpeza,tx_coleta_lixo
208,154,47,0,0,0,1
416,130,5,0,0,1,1
1500,797,137,0,1,0,0
254,138,15,0,0,0,0
336,177,21,0,0,0,1
172,86,14,0,0,0,0
138,105,23,0,0,0,1
219,154,31,0,0,0,0
185,163,18,0,1,0,0
336,301,15,0,0,0,0
430,203,22,0,0,0,0
894,750,13,1,0,0,0
275,205,16,0,0,0,1
693,586,53,0,0,0,0
3097,2689,252,0,1,1,1
655,395,57,0,0,0,1
315,0,18,0,0,1,1
728,396,84,0,0,0,0
147,118,17,0,0,0,1
1831,1090,308,0,1,0,1
420,0,15,0,0,1,1
437,370,18,0,0,1,1
218,190,10,0,0,1,1
1138,1096,41,0,0,0,0
833,596,76,1,1,0,1
138,101,12,0,0,0,1
1096,895,107,0,1,0,0
546,441,66,0,1,0,1
537,361,176,0,0,0,0
326,195,97,0,0,0,0
483,338,64,0,1,0,0
1936,1851,0,0,1,0,1
1011,821,121,0,1,0,0
393,280,21,0,0,0,1
556,0,73,0,0,0,0
440,253,40,1,1,0,1
991,452,68,0,1,0,0
1714,1214,117,0,1,1,0
565,380,30,0,0,1,1
183,134,26,0,1,0,1
852,523,62,0,1,0,1
1135,3,92,0,1,1,1
894,431,37,0,1,0,0
205,112,71,1,0,0,0
1018,533,202,0,0,1,0
366,138,37,0,1,0,1
634,304,48,1,1,0,1
253,145,19,0,0,0,0
259,152,53,0,0,0,0
423,275,53,0,0,0,0
1096,1011,74,0,1,0,0
276,183,31,0,0,0,1
1528,1162,122,1,0,0,1
330,280,48,1,0,1,1
8067,7068,985,1,1,1,1
1131,466,446,0,0,0,0
350,248,67,0,0,1,1
863,815,35,0,1,0,0
235,0,31,0,0,1,1
328,261,16,0,1,0,0
515,268,58,0,0,1,1
157,141,0,0,1,0,1
675,0,44,0,0,1,0
905,0,73,0,0,0,0
310,202,10,0,0,1,1
23700,12948,2176,1,1,0,0
251,239,9,0,0,0,1
1769,1067,193,1,1,0,0
177,136,34,0,1,0,0
689,514,81,0,0,0,0
626,367,51,0,1,0,1
294,150,10,0,0,1,1
1708,846,169,0,1,1,1
231,170,23,1,0,1,1
885,656,84,0,1,0,0
1428,5,39,0,1,0,1
1457,476,45,1,1,0,0
189,110,31,1,0,1,0
591,335,33,0,1,1,1
1062,900,150,0,1,1,1
510,0,44,0,1,1,1
360,251,21,0,1,0,0
596,298,266,0,0,0,0
223,201,10,1,0,0,0
1495,1068,66,1,1,0,1
365,201,43,0,1,0,0
822,551,25,0,1,0,1
1502,1283,29,1,1,0,1
1143,926,65,1,1,1,1
315,225,60,0,1,0,0
632,434,148,0,0,0,0
1342,773,86,0,1,1,0
1004,442,419,0,0,0,0
1048,709,50,0,1,0,0
1438,802,130,0,1,0,1
504,258,59,1,1,1,1
177,112,39,0,0,1,1
1061,574,52,0,0,0,0
834,682,81,0,1,0,1
530,363,68,0,0,0,0
633,351,226,0,1,0,0
352,0,26,0,1,0,1
578,460,49,0,0,0,0
315,232,13,0,0,1,0
672,513,95,0,0,1,0
379,276,63,0,0,0,0
1717,989,155,0,0,1,1
433,375,40,0,0,0,0
304,278,18,0,1,0,0
1440,1135,78,1,1,0,0
634,151,17,0,0,1,1
1314,1010,66,0,1,0,1
1385,953,162,0,1,0,0
1217,760,63,1,0,1,1
309,240,51,0,0,0,0
409,285,49,0,0,0,0
1726,1090,125,0,1,1,1
